smallRNASequence	TM64	TM19	TM20	TM21	TM22	TM23	TM24	TM25	TM26	TM27	TM28	TM212	TM29	TM221	TM30	TM55	TM222	TM56	TM223	TM57	TM229	TM233	TM238	TM239	TM240	TM241	TM242	TM36	TM37	TM38	TM58	TM39	TM59	TM40	TM61	TM41	TM117	TM118	TM119	TM62	TM120	TM63	TM107	TM108	TM109	TM110	TM51	TM331	TM332	TM44	TM333	TM334	TM335	TM45	TM46	TM47	TM48	TM49	TM50	TM42	TM43	TM147	TM148	TM149	TM150	TM151	TM152	TM153	TM154	TM15	TM155	TM156	TM16	TM157	TM17	TM158	TM18	TM159	TM160	TM161	TM162	TM163	TM175	TM177	TM178	TM176	TM210	TM211	TM213	TM214	TM215	TM216	TM217	TM218	TM219	TM220
hsa-miR-4713-5p	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	1.0	2.0	0.0	1.0	2.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	2.0	3.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	2.0	2.0	0.0	0.0	1.0	0.0	1.0	0.0	1.0	1.0	4.0	4.0	0.0	0.0	0.0	3.0	1.0	0.0	2.0	3.0	0.0	2.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0
hsa-miR-4714-3p	11.0	2.0	0.0	2.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	1.0	2.0	3.0	0.0	1.0	0.0	3.0	0.0	2.0	1.0	1.0	1.0	4.0	0.0	11.0	0.0	0.0	0.0	0.0	1.0	3.0	2.0	0.0	0.0	2.0	2.0	0.0	0.0	2.0	2.0	1.0	1.0	2.0	1.0	1.0	2.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	2.0	1.0	0.0	1.0	0.0	1.0	3.0	1.0	0.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	1.0
hsa-miR-4714-5p	15.0	2.0	3.0	2.0	2.0	0.0	1.0	2.0	2.0	1.0	2.0	7.0	1.0	5.0	2.0	6.0	5.0	3.0	7.0	2.0	3.0	4.0	0.0	5.0	0.0	3.0	2.0	2.0	2.0	4.0	4.0	1.0	1.0	2.0	1.0	1.0	3.0	7.0	1.0	17.0	2.0	13.0	0.0	0.0	0.0	0.0	2.0	2.0	1.0	1.0	2.0	4.0	3.0	2.0	5.0	2.0	3.0	4.0	3.0	2.0	2.0	6.0	15.0	4.0	6.0	10.0	4.0	11.0	8.0	1.0	9.0	5.0	3.0	19.0	1.0	6.0	0.0	10.0	8.0	12.0	3.0	3.0	5.0	8.0	3.0	15.0	3.0	4.0	4.0	3.0	5.0	2.0	5.0	0.0	0.0	1.0
hsa-miR-4719	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
hsa-miR-4720-5p	2.0	0.0	2.0	2.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	9.0	0.0	4.0	0.0	4.0	2.0	3.0	5.0	1.0	2.0	0.0	0.0	5.0	0.0	1.0	0.0	3.0	6.0	2.0	0.0	0.0	0.0	1.0	0.0	1.0	3.0	8.0	4.0	6.0	1.0	7.0	0.0	0.0	0.0	0.0	3.0	4.0	1.0	3.0	0.0	1.0	0.0	1.0	0.0	3.0	3.0	1.0	1.0	5.0	1.0	7.0	5.0	3.0	7.0	2.0	6.0	2.0	1.0	0.0	2.0	9.0	0.0	7.0	2.0	6.0	0.0	4.0	5.0	3.0	1.0	2.0	0.0	1.0	0.0	4.0	6.0	9.0	1.0	3.0	8.0	1.0	10.0	3.0	1.0	1.0
hsa-miR-4721	204.0	58.0	185.0	186.0	40.0	11.0	114.0	24.0	95.0	38.0	77.0	865.0	92.0	43.0	61.0	434.0	32.0	464.0	53.0	260.0	27.0	19.0	1.0	33.0	0.0	52.0	20.0	175.0	270.0	179.0	303.0	63.0	287.0	86.0	135.0	91.0	230.0	341.0	165.0	292.0	65.0	302.0	1.0	1.0	1.0	0.0	267.0	32.0	41.0	456.0	25.0	85.0	51.0	227.0	219.0	358.0	251.0	194.0	220.0	261.0	92.0	86.0	64.0	70.0	84.0	77.0	114.0	102.0	154.0	178.0	54.0	145.0	157.0	83.0	202.0	110.0	78.0	59.0	148.0	66.0	59.0	103.0	31.0	41.0	28.0	128.0	352.0	509.0	106.0	289.0	172.0	156.0	276.0	54.0	25.0	23.0
hsa-miR-4722-5p	2.0	0.0	1.0	5.0	2.0	0.0	3.0	0.0	1.0	0.0	0.0	7.0	1.0	5.0	0.0	6.0	1.0	2.0	2.0	1.0	4.0	2.0	0.0	2.0	1.0	1.0	2.0	2.0	6.0	12.0	1.0	1.0	1.0	2.0	2.0	3.0	3.0	6.0	0.0	6.0	1.0	1.0	0.0	0.0	0.0	0.0	3.0	2.0	2.0	2.0	6.0	8.0	1.0	2.0	6.0	12.0	3.0	3.0	4.0	1.0	3.0	14.0	12.0	13.0	5.0	6.0	10.0	12.0	13.0	3.0	6.0	5.0	1.0	10.0	1.0	2.0	0.0	6.0	5.0	7.0	10.0	9.0	6.0	7.0	4.0	16.0	7.0	2.0	5.0	2.0	2.0	4.0	6.0	7.0	1.0	2.0
hsa-miR-4723-5p	1.0	0.0	1.0	3.0	2.0	0.0	2.0	2.0	0.0	0.0	0.0	3.0	0.0	0.0	2.0	2.0	1.0	2.0	0.0	2.0	0.0	0.0	1.0	0.0	0.0	3.0	1.0	0.0	3.0	4.0	1.0	2.0	0.0	0.0	2.0	0.0	1.0	2.0	2.0	2.0	0.0	3.0	0.0	0.0	0.0	0.0	1.0	1.0	3.0	2.0	0.0	2.0	3.0	1.0	1.0	1.0	1.0	2.0	3.0	1.0	0.0	4.0	3.0	1.0	3.0	2.0	7.0	4.0	2.0	0.0	2.0	2.0	1.0	3.0	0.0	3.0	4.0	4.0	0.0	1.0	1.0	5.0	0.0	0.0	0.0	1.0	2.0	4.0	1.0	2.0	2.0	0.0	1.0	4.0	1.0	1.0
hsa-miR-4724-3p	3.0	0.0	0.0	1.0	0.0	0.0	4.0	0.0	0.0	1.0	0.0	6.0	0.0	16.0	3.0	3.0	10.0	3.0	25.0	3.0	4.0	4.0	0.0	12.0	0.0	7.0	1.0	1.0	1.0	2.0	2.0	0.0	4.0	0.0	3.0	1.0	9.0	10.0	1.0	3.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	13.0	7.0	2.0	7.0	13.0	8.0	1.0	1.0	2.0	3.0	1.0	1.0	6.0	0.0	14.0	14.0	26.0	19.0	18.0	29.0	22.0	37.0	4.0	14.0	23.0	1.0	12.0	2.0	19.0	1.0	24.0	8.0	16.0	13.0	11.0	7.0	8.0	1.0	13.0	7.0	8.0	0.0	3.0	7.0	5.0	8.0	5.0	3.0	3.0
hsa-miR-4724-5p	2.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	3.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	2.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	2.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	2.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	2.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	1.0	1.0	0.0	0.0
hsa-miR-4725-3p	10.0	1.0	2.0	5.0	22.0	0.0	2.0	0.0	1.0	0.0	4.0	7.0	6.0	0.0	1.0	4.0	4.0	7.0	3.0	4.0	2.0	0.0	0.0	2.0	0.0	1.0	3.0	8.0	9.0	9.0	3.0	3.0	6.0	4.0	1.0	6.0	6.0	3.0	2.0	16.0	1.0	11.0	0.0	0.0	0.0	0.0	5.0	5.0	4.0	10.0	4.0	1.0	1.0	4.0	7.0	6.0	6.0	2.0	7.0	3.0	1.0	4.0	15.0	9.0	3.0	4.0	6.0	5.0	4.0	6.0	9.0	3.0	5.0	8.0	9.0	4.0	5.0	7.0	4.0	5.0	4.0	7.0	3.0	3.0	2.0	9.0	10.0	6.0	4.0	6.0	3.0	4.0	3.0	2.0	3.0	3.0
hsa-miR-4726-3p	5.0	2.0	1.0	4.0	0.0	0.0	3.0	3.0	0.0	2.0	0.0	7.0	2.0	0.0	1.0	10.0	4.0	12.0	0.0	13.0	3.0	2.0	0.0	5.0	1.0	2.0	5.0	3.0	4.0	4.0	4.0	0.0	4.0	7.0	5.0	6.0	2.0	2.0	0.0	11.0	2.0	4.0	0.0	0.0	0.0	0.0	2.0	2.0	0.0	11.0	0.0	1.0	2.0	7.0	8.0	16.0	10.0	1.0	10.0	5.0	1.0	5.0	4.0	12.0	4.0	2.0	5.0	17.0	2.0	5.0	3.0	4.0	2.0	3.0	2.0	4.0	3.0	28.0	3.0	6.0	5.0	8.0	0.0	3.0	2.0	4.0	4.0	6.0	2.0	0.0	4.0	2.0	5.0	3.0	1.0	3.0
